crop,district_code,improved_seed,inorganic_fert,organic_fert,irrigated,mean_yield_kg_ha,ci_low,ci_high,n_plots,reliability
maize,22.0,False,False,False,False,596.0352982788067,536.2486860398184,655.3643594274138,38,ok
maize,22.0,False,False,False,True,692.829358784757,620.6934525745464,764.2648970220599,38,ok
maize,22.0,False,False,True,False,823.0309792110901,734.1063862824016,907.2035679202831,38,ok
maize,22.0,False,False,True,True,919.3747605577427,822.2245966388962,1014.517409546852,38,ok
maize,22.0,False,True,False,False,785.560527786799,727.1668218793712,836.8121929749627,38,ok
maize,22.0,False,True,False,True,860.1433011745754,793.2201296136694,911.0735208911705,38,ok
maize,22.0,False,True,True,False,972.920203794209,902.7817925996293,1062.019005213976,38,ok
maize,22.0,False,True,True,True,1020.2668817215297,946.8468575908264,1078.0887171916474,38,ok
maize,22.0,True,False,False,False,691.4210556758393,622.153863760332,762.2143717084252,38,ok
maize,22.0,True,False,False,True,821.7718730126908,732.3403623515608,906.1445232836024,38,ok
maize,22.0,True,False,True,False,991.3614511239572,880.0880941574183,1109.3196006496573,38,ok
maize,22.0,True,False,True,True,1097.1150142560818,987.3014745695522,1209.2667752036532,38,ok
maize,22.0,True,True,False,False,1087.0914466756699,987.3714117715447,1167.6853773079401,38,ok
maize,22.0,True,True,False,True,1238.7976961869715,1133.6393560130732,1334.4078920781603,38,ok
maize,22.0,True,True,True,False,1380.3648495525645,1254.215276579225,1495.2565033163203,38,ok
maize,22.0,True,True,True,True,1467.1716592453436,1368.521104840324,1558.1276710495783,38,ok
maize,23.0,False,False,False,False,534.9056797039725,510.04078611435943,562.6179569287119,145,ok
maize,23.0,False,False,False,True,725.3657834784873,698.7468082015929,749.3021473313279,145,ok
maize,23.0,False,False,True,False,554.8203615544852,529.1128419804722,582.700225816694,145,ok
maize,23.0,False,False,True,True,745.3641268661147,718.9521584755369,767.7342320814397,145,ok
maize,23.0,False,True,False,False,1016.0419878498454,956.2305326507321,1062.4491662773767,145,ok
maize,23.0,False,True,False,True,1218.842541439302,1157.1729706893357,1264.8730243882792,145,ok
maize,23.0,False,True,True,False,1062.70929488405,1003.1449171224599,1103.7512812921443,145,ok
maize,23.0,False,True,True,True,1264.4498166023002,1204.559191503449,1310.5562138538369,145,ok
maize,23.0,True,False,False,False,610.3483773323944,574.2223642944011,652.2931782736433,145,ok
maize,23.0,True,False,False,True,883.8788683448469,842.5865938404887,927.9200428339869,145,ok
maize,23.0,True,False,True,False,620.6345086784222,582.3029040377901,660.551194526062,145,ok
maize,23.0,True,False,True,True,891.9389159125532,847.0739935266963,930.4385352387034,145,ok
maize,23.0,True,True,False,False,1267.6230104184992,1176.9016408847253,1345.8809456090041,145,ok
maize,23.0,True,True,False,True,1654.396572067846,1541.6655412836028,1738.6037465415698,145,ok
maize,23.0,True,True,True,False,1290.9130054741615,1197.3225540366423,1359.7887555160155,145,ok
maize,23.0,True,True,True,True,1673.2866455162405,1566.0799880330223,1754.8697094492823,145,ok
maize,24.0,False,False,False,False,611.974555143072,563.3116300493427,651.6423247930046,63,ok
maize,24.0,False,False,False,True,701.9721183388866,648.0293015302544,744.4454866610178,63,ok
maize,24.0,False,False,True,False,838.2673375541766,772.0750550189508,886.7555400047802,63,ok
maize,24.0,False,False,True,True,923.4722905335797,859.5117779770602,974.3619500647421,63,ok
maize,24.0,False,True,False,False,788.2480799190158,732.8957442470048,839.7158669164056,63,ok
maize,24.0,False,True,False,True,868.9170795610532,808.9897778453918,922.2674088998795,63,ok
maize,24.0,False,True,True,False,960.5633096471205,903.0038245783735,1022.0719954185536,63,ok
maize,24.0,False,True,True,True,1017.9767052999048,957.7401225567868,1072.9326901067059,63,ok
maize,24.0,True,False,False,False,715.5788021418547,669.8213044508017,761.8548281700694,63,ok
maize,24.0,True,False,False,True,833.4909584015265,774.1303005647769,885.6365021544407,63,ok
maize,24.0,True,False,True,False,979.764659615388,920.3542229262146,1031.0834920310676,63,ok
maize,24.0,True,False,True,True,1096.3367821607153,1030.2068698219275,1150.5455662872498,63,ok
maize,24.0,True,True,False,False,1121.1348187347462,1046.8335281996633,1196.2588042291845,63,ok
maize,24.0,True,True,False,True,1296.5556671502466,1205.6737898791537,1382.8712542193753,63,ok
maize,24.0,True,True,True,False,1346.8698246394572,1263.940692633048,1420.0310713187057,63,ok
maize,24.0,True,True,True,True,1496.6908404305625,1405.390670400423,1574.0326994564555,63,ok
maize,25.0,False,False,False,False,413.9011991028414,391.292409579549,434.0971934460431,121,ok
maize,25.0,False,False,False,True,541.2468959515985,518.1772459721197,561.683114709742,121,ok
maize,25.0,False,False,True,False,434.4557297408985,409.6317757685664,455.3710460870946,121,ok
maize,25.0,False,False,True,True,559.7409956237715,535.5395425770935,580.1354344523195,121,ok
maize,25.0,False,True,False,False,764.9440269227312,719.528715496779,813.8757354714974,121,ok
maize,25.0,False,True,False,True,920.5331893112307,872.8801602467095,977.9803414011654,121,ok
maize,25.0,False,True,True,False,816.9995292850803,768.9593764327412,863.5425379357833,121,ok
maize,25.0,False,True,True,True,966.8754266879696,918.0106269367943,1020.2748536475331,121,ok
maize,25.0,True,False,False,False,460.44701566775916,421.5068550736448,487.13679091512984,121,ok
maize,25.0,True,False,False,True,650.1011830548412,605.078417513154,687.4568785549168,121,ok
maize,25.0,True,False,True,False,473.45667582186826,435.78072759471826,502.7509220661409,121,ok
maize,25.0,True,False,True,True,658.9172619646836,617.9325402710563,695.6254236877633,121,ok
maize,25.0,True,True,False,False,913.6585243212661,844.5375677233396,984.2638538110107,121,ok
maize,25.0,True,True,False,True,1221.592055285596,1140.3896844874423,1316.5137838853911,121,ok
maize,25.0,True,True,True,False,948.4694164592439,880.4157916811658,1019.0041140920519,121,ok
maize,25.0,True,True,True,True,1246.2213338060533,1164.5084920016548,1340.74822107133,121,ok
maize,26.0,False,False,False,False,670.7310586722756,628.1378138108211,708.8299834840785,109,ok
maize,26.0,False,False,False,True,756.8215324311507,719.326371505273,791.8424584932683,109,ok
maize,26.0,False,False,True,False,826.8433581431245,775.2117223492988,872.9437579093891,109,ok
maize,26.0,False,False,True,True,912.56017468415,862.8882429803012,950.7605947218863,109,ok
maize,26.0,False,True,False,False,929.4384496382853,874.77750874184,973.0180573057612,109,ok
maize,26.0,False,True,False,True,1017.347822516482,974.902079371645,1050.0876954092257,109,ok
maize,26.0,False,True,True,False,1039.575257223312,985.5831785170873,1085.2072924117008,109,ok
maize,26.0,False,True,True,True,1118.8203663187608,1072.4055501703047,1155.7067463372487,109,ok
maize,26.0,True,False,False,False,772.4359303219873,713.5708386611873,826.0321122877959,109,ok
maize,26.0,True,False,False,True,897.4161101342839,844.3546044869014,948.5683130050714,109,ok
maize,26.0,True,False,True,False,988.5397149467128,910.2992252629325,1070.423558521206,109,ok
maize,26.0,True,False,True,True,1096.5677973366255,1029.4572362326812,1151.9953555408483,109,ok
maize,26.0,True,True,False,False,1289.404371776657,1207.8067862053726,1356.5629192426557,109,ok
maize,26.0,True,True,False,True,1487.476099519604,1412.017967787791,1548.1897953558446,109,ok
maize,26.0,True,True,True,False,1482.403264745681,1392.3491571921593,1558.8150797869869,109,ok
maize,26.0,True,True,True,True,1642.0711369434462,1566.4670402284326,1705.1442265944142,109,ok
maize,27.0,False,False,False,False,500.96174449833484,459.94537888081146,536.6152005484669,74,ok
maize,27.0,False,False,False,True,590.2873091808644,534.2581008625325,628.6256950906342,74,ok
maize,27.0,False,False,True,False,614.2158172321858,572.9777438134115,663.4339196439471,74,ok
maize,27.0,False,False,True,True,708.5968657223797,651.4748719993553,755.5260519821561,74,ok
maize,27.0,False,True,False,False,818.3740864935008,749.398436317535,899.0080186665564,74,ok
maize,27.0,False,True,False,True,929.8223136882465,850.6864730424494,1012.3656478254082,74,ok
