district_code,season,year,lead_months,ndvi_mean,ndvi_climatology_mean,ndvi_anomaly,rainfall_mm,rainfall_climatology_mm,rainfall_anomaly
57,A,2019,2,0.4401274723539003,0.5232000042786433,-0.08307253192474301,106.15922848846932,537.6038856609841,-431.4446571725148
53,A,2019,2,0.5157587386899897,0.5898774882200208,-0.07411874953003117,136.28172395275308,563.150757883023,-426.8690339302699
54,A,2019,2,0.4427407450788353,0.5148881640784552,-0.07214741899961985,115.82146619592804,539.3123998898976,-423.49093369396957
55,A,2019,2,0.4700028559162221,0.5567120985461607,-0.08670924262993857,110.33777860611876,552.1756797854943,-441.8379011793755
56,A,2019,2,0.4805693425325777,0.5780966319788349,-0.09752728944625716,117.24434134682362,572.6690576586709,-455.4247163118473
52,A,2019,2,0.4906845230187849,0.5906377629937875,-0.09995323997500255,152.85401333491868,532.7701165154426,-379.9161031805239
51,A,2019,2,0.5356886142105701,0.5867641888615014,-0.051075574650931266,110.2951682556166,537.6724565537642,-427.37728829814756
12,A,2019,2,0.5310010300436668,0.568861695178867,-0.037860665135200144,124.30168379256676,566.5595317284136,-442.2578479358468
13,A,2019,2,0.4784911990117273,0.556269903923189,-0.07777870491146166,111.54984771633562,549.0361204926747,-437.4862727763391
11,A,2019,2,0.4880117742380483,0.5557499918145764,-0.06773821757652809,132.10286496450598,569.3818444225695,-437.27897945806353
44,A,2019,2,0.489941222544701,0.5342617028314773,-0.04432048028677632,234.41245999848,668.1525153546401,-433.74005535616004
42,A,2019,2,0.5209751043262226,0.5931116681670293,-0.07213656384080669,191.1833453244292,636.4110449199464,-445.22769959551727
45,A,2019,2,0.5933942705186825,0.5934668573502707,-7.25868315881728e-05,169.6432581088225,608.0765628121432,-438.4333047033207
43,A,2019,2,0.541310962823216,0.5785218633809919,-0.03721090055777587,272.5271126314616,760.948092805632,-488.4209801741704
41,A,2019,2,0.5301977314785036,0.5710089314384026,-0.040811199959899014,161.68100552782988,616.511621175987,-454.8306156481571
22,A,2019,2,0.5305498422594187,0.5952345300902333,-0.0646846878308146,158.7283101263768,689.784448705568,-531.0561385791912
24,A,2019,2,0.5154322926773581,0.5634030467912526,-0.04797075411389451,160.06406819404648,675.6982206230717,-515.6341524290252
28,A,2019,2,0.5108692036811321,0.5751026336519572,-0.06423342997082515,141.47222686086823,570.1193998072029,-428.64717294633465
27,A,2019,2,0.5120532752281375,0.5774512964947617,-0.0653980212666242,166.3215780066624,631.7151372206748,-465.3935592140124
25,A,2019,2,0.5202398852358563,0.5629983440811737,-0.04275845884531737,194.0771253244545,789.1854214642077,-595.1082961397532
21,A,2019,2,0.5115141013508386,0.5788589876681618,-0.06734488631732316,142.64672667251202,621.5758942561716,-478.9291675836596
23,A,2019,2,0.5429717102670045,0.5735772872407364,-0.030605576973731896,206.551997667028,831.6756801327349,-625.1236824657069
26,A,2019,2,0.4990868093457148,0.5569278808089793,-0.05784107146326445,147.14728119679103,592.6909513481587,-445.5436701513677
31,A,2019,2,0.5139113060932777,0.5893821642012579,-0.07547085810798015,201.1924180599039,695.3883730727514,-494.1959550128475
35,A,2019,2,0.5135559914372314,0.5900406158512127,-0.0764846244139813,190.4993123590328,673.8697186110531,-483.3704062520203
34,A,2019,2,0.5330636326339638,0.5948705806999535,-0.06180694806598963,254.11381074395797,727.5725236094592,-473.4587128655012
37,A,2019,2,0.5672986621052435,0.6023774613954869,-0.03507879929024338,245.6381466983312,833.533010090417,-587.8948633920858
33,A,2019,2,0.5717731772757949,0.5769727808837313,-0.005199603607936365,233.80508528315377,665.9829310230813,-432.17784573992753
36,A,2019,2,0.6193036902412695,0.6203227980243009,-0.001019107783031381,236.91308969104304,877.9863588585017,-641.0732691674586
32,A,2019,2,0.5233058348264731,0.571044016756271,-0.04773818192979795,202.8656419521492,670.2923260847152,-467.42668413256604
57,A,2019,3,0.4666654771488671,0.5232000042786433,-0.056534527129776246,213.93328168134184,537.6038856609841,-323.6706039796423
53,A,2019,3,0.5646972347811325,0.5898774882200208,-0.0251802534388883,245.80610449577736,563.150757883023,-317.34465338724556
54,A,2019,3,0.4731185158972359,0.5148881640784552,-0.041769648181219254,214.40693781141837,539.3123998898976,-324.9054620784792
55,A,2019,3,0.499196113737729,0.5567120985461607,-0.057515984808431675,207.99051548807972,552.1756797854943,-344.18516429741453
56,A,2019,3,0.5116880774211403,0.5780966319788349,-0.06640855455769457,231.42740654497285,572.6690576586709,-341.241651113698
52,A,2019,3,0.5560016034207644,0.5906377629937875,-0.03463615957302302,261.0124394207012,532.7701165154426,-271.75767709474144
51,A,2019,3,0.5756991156237777,0.5867641888615014,-0.011065073237723655,221.84475115598696,537.6724565537642,-315.8277053977772
12,A,2019,3,0.5533299313789639,0.568861695178867,-0.015531763799903064,241.08667093285317,566.5595317284136,-325.47286079556045
13,A,2019,3,0.4987546108817126,0.556269903923189,-0.0575152930414764,222.5174619023537,549.0361204926747,-326.518658590321
11,A,2019,3,0.5310718612393541,0.5557499918145764,-0.02467813057522228,249.4382043450989,569.3818444225695,-319.9436400774706
