crop,district_code,feature,mean_abs_shap,direction,n_plots,reliability
maize,24.0,irrigated,0.019647114677283726,positive,63,ok
maize,24.0,erosion_degree,0.04650326156322012,positive,63,ok
maize,24.0,plot_area_ha,0.12046015354850445,positive,63,ok
maize,24.0,sowing_month,0.0,positive,63,ok
maize,24.0,soil_ph,0.0987106262762388,negative,63,ok
maize,24.0,soil_nitrogen,0.09830596522962762,negative,63,ok
maize,24.0,soil_carbon,0.02939065969622947,negative,63,ok
maize,24.0,soil_texture_class,0.08378148650150434,negative,63,ok
maize,24.0,rainfall_mm,0.13958544849660887,positive,63,ok
maize,25.0,improved_seed,0.07325635306150406,negative,121,ok
maize,25.0,organic_fert,0.012042383489091119,positive,121,ok
maize,25.0,inorganic_fert,0.17767047119540685,positive,121,ok
maize,25.0,pesticide,0.17922173650737652,positive,121,ok
maize,25.0,anti_erosion,0.005367780860450078,positive,121,ok
maize,25.0,land_consolidation,0.03583922569349935,negative,121,ok
maize,25.0,mechanized,0.0030106837091242204,negative,121,ok
maize,25.0,irrigated,0.035218462753213435,positive,121,ok
maize,25.0,erosion_degree,0.022850132513705317,negative,121,ok
maize,25.0,plot_area_ha,0.11270595027406852,positive,121,ok
maize,25.0,sowing_month,0.0,positive,121,ok
maize,25.0,soil_ph,0.3731899641376309,negative,121,ok
maize,25.0,soil_nitrogen,0.03218675810503592,positive,121,ok
maize,25.0,soil_carbon,0.019999606494171037,negative,121,ok
maize,25.0,soil_texture_class,0.003484079717548476,positive,121,ok
maize,25.0,rainfall_mm,0.08162840082071494,positive,121,ok
maize,26.0,improved_seed,0.07712094766312563,positive,109,ok
maize,26.0,organic_fert,0.037733295051880444,positive,109,ok
maize,26.0,inorganic_fert,0.17459505454543894,positive,109,ok
maize,26.0,pesticide,0.15447600667369957,positive,109,ok
maize,26.0,anti_erosion,0.006329047191266305,positive,109,ok
maize,26.0,land_consolidation,0.0422509943672628,positive,109,ok
maize,26.0,mechanized,0.004375341248011555,negative,109,ok
maize,26.0,irrigated,0.02546246710055339,positive,109,ok
maize,26.0,erosion_degree,0.02285546440175185,negative,109,ok
maize,26.0,plot_area_ha,0.14386991544176952,positive,109,ok
maize,26.0,sowing_month,0.0,positive,109,ok
maize,26.0,soil_ph,0.1094983593589937,negative,109,ok
maize,26.0,soil_nitrogen,0.09505869550608759,negative,109,ok
maize,26.0,soil_carbon,0.0350063204896885,positive,109,ok
maize,26.0,soil_texture_class,0.005012691422603102,positive,109,ok
maize,26.0,rainfall_mm,0.08147660069128872,positive,109,ok
maize,27.0,improved_seed,0.04869565910512718,positive,74,ok
maize,27.0,organic_fert,0.03034148209254805,positive,74,ok
maize,27.0,inorganic_fert,0.1685821609422972,positive,74,ok
maize,27.0,pesticide,0.16019231472344453,positive,74,ok
maize,27.0,anti_erosion,0.0060230856408709935,negative,74,ok
maize,27.0,land_consolidation,0.07214610280384394,positive,74,ok
maize,27.0,mechanized,0.006528220531650643,negative,74,ok
maize,27.0,irrigated,0.015853935095105336,negative,74,ok
maize,27.0,erosion_degree,0.04631594230363045,negative,74,ok
maize,27.0,plot_area_ha,0.14324119388206738,positive,74,ok
maize,27.0,sowing_month,0.0,positive,74,ok
maize,27.0,soil_ph,0.22523858255203388,negative,74,ok
maize,27.0,soil_nitrogen,0.13546570272818662,negative,74,ok
maize,27.0,soil_carbon,0.03410577378461517,negative,74,ok
maize,27.0,soil_texture_class,0.004936148160960392,positive,74,ok
maize,27.0,rainfall_mm,0.1282297563031542,negative,74,ok
maize,28.0,improved_seed,0.0687931056868416,positive,97,ok
maize,28.0,organic_fert,0.04103357299415249,positive,97,ok
maize,28.0,inorganic_fert,0.17251103843974394,positive,97,ok
maize,28.0,pesticide,0.18300700321348512,positive,97,ok
maize,28.0,anti_erosion,0.006932863603429195,negative,97,ok
maize,28.0,land_consolidation,0.045812789184351096,positive,97,ok
maize,28.0,mechanized,0.005796364741407358,positive,97,ok
maize,28.0,irrigated,0.03318554415315025,positive,97,ok
maize,28.0,erosion_degree,0.028116269992722997,negative,97,ok
maize,28.0,plot_area_ha,0.14171979328885342,positive,97,ok
maize,28.0,sowing_month,0.0,positive,97,ok
maize,28.0,soil_ph,0.06747148460506451,negative,97,ok
maize,28.0,soil_nitrogen,0.09177273871176084,negative,97,ok
maize,28.0,soil_carbon,0.017791758861296636,positive,97,ok
maize,28.0,soil_texture_class,0.005975848843587877,positive,97,ok
maize,28.0,rainfall_mm,0.11478216421194888,negative,97,ok
maize,31.0,improved_seed,0.07395307759561383,negative,190,ok
maize,31.0,organic_fert,0.04046788057877363,positive,190,ok
maize,31.0,inorganic_fert,0.15200989229597,positive,190,ok
maize,31.0,pesticide,0.13378630507367004,negative,190,ok
maize,31.0,anti_erosion,0.004648823363355023,negative,190,ok
maize,31.0,land_consolidation,0.030633377884531108,negative,190,ok
maize,31.0,mechanized,0.004458262179701541,positive,190,ok
maize,31.0,irrigated,0.015982373783823337,negative,190,ok
maize,31.0,erosion_degree,0.025060598327346625,negative,190,ok
maize,31.0,plot_area_ha,0.11812461915471258,positive,190,ok
maize,31.0,sowing_month,0.0,positive,190,ok
maize,31.0,soil_ph,0.15046151004211908,negative,190,ok
maize,31.0,soil_nitrogen,0.03216370866152748,negative,190,ok
maize,31.0,soil_carbon,0.028285353904366217,negative,190,ok
maize,31.0,soil_texture_class,0.0045341144964372105,positive,190,ok
maize,31.0,rainfall_mm,0.08007801226863075,positive,190,ok
maize,32.0,improved_seed,0.09374738186339673,negative,420,ok
maize,32.0,organic_fert,0.031031173101148612,negative,420,ok
maize,32.0,inorganic_fert,0.19719936094589668,negative,420,ok
maize,32.0,pesticide,0.12968733320866335,negative,420,ok
maize,32.0,anti_erosion,0.005490748191343276,positive,420,ok
maize,32.0,land_consolidation,0.02454183117808247,negative,420,ok
maize,32.0,mechanized,0.006473957832134667,positive,420,ok
maize,32.0,irrigated,0.014356719823116319,negative,420,ok
maize,32.0,erosion_degree,0.033775055280593234,negative,420,ok
maize,32.0,plot_area_ha,0.13494241345191874,negative,420,ok
maize,32.0,sowing_month,0.0,positive,420,ok
maize,32.0,soil_ph,0.133905082925364,negative,420,ok
maize,32.0,soil_nitrogen,0.08549211359145208,positive,420,ok
maize,32.0,soil_carbon,0.010954588465089649,negative,420,ok
maize,32.0,soil_texture_class,0.005606850810694128,positive,420,ok
maize,32.0,rainfall_mm,0.06981852840487979,positive,420,ok
maize,33.0,improved_seed,0.08745443595582539,negative,275,ok
maize,33.0,organic_fert,0.03361787855752809,negative,275,ok
maize,33.0,inorganic_fert,0.1777977705065891,negative,275,ok
maize,33.0,pesticide,0.1113491155299058,negative,275,ok
maize,33.0,anti_erosion,0.004693895528786945,positive,275,ok
maize,33.0,land_consolidation,0.018993908618604907,negative,275,ok
maize,33.0,mechanized,0.008528546803732216,positive,275,ok
maize,33.0,irrigated,0.010943958216950917,negative,275,ok
maize,33.0,erosion_degree,0.015233746621266052,positive,275,ok
maize,33.0,plot_area_ha,0.07508111916219146,negative,275,ok
maize,33.0,sowing_month,0.0,positive,275,ok
maize,33.0,soil_ph,0.28060690804725574,positive,275,ok
maize,33.0,soil_nitrogen,0.06325919515147155,positive,275,ok
maize,33.0,soil_carbon,0.01704745815781445,negative,275,ok
maize,33.0,soil_texture_class,0.00900276863453525,positive,275,ok
maize,33.0,rainfall_mm,0.15260949124373566,negative,275,ok
maize,34.0,improved_seed,0.06158191083666736,negative,255,ok
maize,34.0,organic_fert,0.031150076409045786,positive,255,ok
maize,34.0,inorganic_fert,0.19092509801597263,negative,255,ok
maize,34.0,pesticide,0.15250894132748405,negative,255,ok
maize,34.0,anti_erosion,0.003917657517247068,negative,255,ok
maize,34.0,land_consolidation,0.04333068194774235,negative,255,ok
maize,34.0,mechanized,0.0034343497688290705,negative,255,ok
maize,34.0,irrigated,0.02397597892632427,negative,255,ok
maize,34.0,erosion_degree,0.03468268294757117,negative,255,ok
maize,34.0,plot_area_ha,0.13641600196149756,negative,255,ok
maize,34.0,sowing_month,0.0,positive,255,ok
