geo_level,geo_code,crop,season,year,total_production_kg,total_area_ha,yield_kg_ha,yield_kg_ha_ci_low,yield_kg_ha_ci_high,n_plots,n_segments,reliability
district,26.0,beans,B,2025,3119787.6367263794,6250.0242499898395,499.1640851203819,443.16869797951597,555.1594722612479,108,32,ok
district,27.0,beans,A,2020,371537.17994427023,829.4654272355375,447.9236478638276,305.09480423750455,590.7524914901508,15,11,ok
district,27.0,beans,A,2021,330863.42932128906,739.726531601439,447.27803476914715,321.96026834965966,572.5958011886346,13,10,ok
district,27.0,beans,A,2025,891483.6969604492,1361.368916609043,654.8435814011353,434.05273190451436,875.6344308977564,23,16,ok
district,27.0,beans,B,2021,850457.3311291505,1508.4950295319481,563.7786764156778,440.6080017251629,686.9493511061926,27,16,ok
district,27.0,beans,B,2025,920076.2270202637,1567.7615322382298,586.8725619939838,478.10634156961396,695.6387824183537,28,14,ok
district,28.0,beans,A,2020,793799.2007110607,1869.0006874780754,424.7185172425853,323.0150643265923,526.4219701585782,32,17,ok
district,28.0,beans,A,2021,645484.7944793701,1650.0202720895209,391.19809944028964,281.3026204058943,501.093578474685,27,18,ok
district,28.0,beans,A,2023,198542.89137268066,881.4958107647329,225.23407252546866,108.15778857058578,342.3103564803515,15,10,use_with_caution
district,28.0,beans,A,2024,444953.58224487305,699.4070538728394,636.1868668338752,304.11151784613764,968.2622158216128,12,11,use_with_caution
district,28.0,beans,A,2025,454838.9470214844,1013.2584408065471,448.8873999997824,299.5414161244347,598.2333838751301,17,10,ok
district,28.0,beans,B,2020,742377.6246841431,1408.8939424456703,526.9222915356318,429.72541056029274,624.1191725109708,26,17,ok
district,28.0,beans,B,2021,1071863.3364184569,2369.893068815495,452.2834175611935,376.57071189164924,527.9961232307378,40,27,ok
district,28.0,beans,B,2023,536603.7182452392,773.5845217947206,693.6588092537264,443.2373567243655,944.0802617830873,15,11,ok
district,28.0,beans,B,2024,499261.5012512207,1079.1338005351079,462.65023021580174,383.4085805005162,541.8918799310873,21,11,ok
district,28.0,beans,B,2025,1561738.1260681152,4688.648338162018,333.0892004326192,290.71758233640713,375.4608185288312,63,27,ok
district,31.0,beans,A,2020,707259.4808621397,946.3662371015987,747.3422583504642,543.3943011225965,951.290215578332,15,14,ok
district,31.0,beans,A,2022,764927.7116088867,1004.6466708069064,761.3897839272353,543.7930671510558,978.9865007034148,16,12,ok
district,31.0,beans,A,2023,847446.59769104,1053.6264657023598,804.3140764560447,637.279940535162,971.3482123769274,17,13,ok
district,31.0,beans,A,2024,659472.6826782227,898.648846340893,733.8491395871204,465.2299170223346,1002.4683621519061,15,14,ok
district,31.0,beans,A,2025,828083.2723388672,1072.248887987869,772.2864361210098,462.6847061296215,1081.8881661123983,18,12,use_with_caution
district,31.0,beans,B,2020,1338617.0471124267,1955.69589371373,684.470960651498,584.8942874409282,784.0476338620678,31,20,ok
district,31.0,beans,B,2021,1540371.4627337647,3074.659978482381,500.9892064533508,423.14197683835886,578.8364360683427,48,26,ok
district,31.0,beans,B,2022,2080298.6965979002,2503.65095907716,830.9060370638459,627.2689423254292,1034.5431318022627,39,19,ok
district,31.0,beans,B,2023,2324562.1929455567,3059.614439744876,759.7565767598445,651.8134232080556,867.6997303116334,46,21,ok
district,31.0,beans,B,2024,1857108.403503418,1833.6190623696039,1012.8103713665905,856.4150304917563,1169.2057122414249,30,19,ok
district,31.0,beans,B,2025,2630739.6062316895,3379.857797577378,778.3580741525152,688.1259946408336,868.5901536641968,54,29,ok
district,32.0,beans,B,2020,848561.3878103638,1048.996251086502,808.9269975287929,707.9098834374852,909.9441116201006,18,10,ok
district,32.0,beans,B,2021,1141880.6612423705,1979.7564040396653,576.7783647080919,407.36396049982613,746.1927689163576,31,16,ok
district,32.0,beans,B,2023,846436.9599975586,1504.375742989023,562.6499655702936,355.81917945790804,769.4807516826792,25,11,ok
district,32.0,beans,B,2025,1827615.64553833,2377.113910228105,768.8380593267212,618.4606597721172,919.2154588813253,43,17,ok
district,33.0,beans,A,2020,2868958.2228955366,4295.003436420231,667.9757689057253,582.6628734199709,753.2886643914798,90,22,ok
district,33.0,beans,A,2021,2332176.1442596437,4091.4430968136553,570.0130953980276,513.1487618738842,626.8774289221711,86,21,ok
district,33.0,beans,A,2022,2247007.4005401614,3626.4572760180945,619.6150208082445,513.4604267667958,725.7696148496932,74,21,ok
district,33.0,beans,A,2023,3179796.2146484377,3993.148630565392,796.3130123203575,672.791557074938,919.834467565777,83,20,ok
district,33.0,beans,A,2024,2971457.379966736,3514.9908456975204,845.3670323505708,667.4687734620569,1023.2652912390846,76,20,ok
district,33.0,beans,A,2025,2305229.483467102,3430.6240673721586,671.9563082972529,535.7951191424678,808.117497452038,74,17,ok
district,33.0,beans,B,2020,1819011.0480267333,2588.3393738625737,702.7714628133276,644.0124857302466,761.5304398964087,55,16,ok
district,33.0,beans,B,2021,795831.3124417115,1661.6441711890618,478.9420781178559,369.2686688024595,588.6154874332523,63,18,ok
district,33.0,beans,B,2022,1227032.3616455079,2116.4757323631407,579.7526250279614,502.6550974266196,656.8501526293031,45,14,ok
district,33.0,beans,B,2023,1488251.372039795,2992.036116089087,497.4042138184814,347.371853285908,647.4365743510548,58,18,ok
district,33.0,beans,B,2024,2089561.036682129,2730.80934217335,765.1801260571068,655.8450935265962,874.5151585876174,58,18,ok
district,33.0,beans,B,2025,1581398.1040039062,2502.612655845363,631.8988678932108,538.1532779518241,725.6444578345975,54,20,ok
district,34.0,beans,A,2020,2464582.0655897213,3542.857913153326,695.6480124251204,554.100822746417,837.1952021038239,63,15,ok
district,34.0,beans,A,2021,1593473.2071420287,3435.386367984354,463.84104623345996,374.1250258910471,553.5570665758728,57,19,ok
district,34.0,beans,A,2022,1367827.1174926758,2297.2101524433137,595.4296850193938,484.7435464099389,706.1158236288487,40,15,ok
district,34.0,beans,A,2023,2957338.75876709,2693.3153116280673,1098.029163536528,807.3905899729599,1388.667737100096,47,16,ok
district,34.0,beans,A,2024,4099751.0348205566,4801.417624059693,853.8626205470827,722.5914163025459,985.1338247916194,87,21,ok
district,34.0,beans,A,2025,5258917.551559448,5814.680484686347,904.420727056187,822.5808745928206,986.2605795195535,106,24,ok
district,34.0,beans,B,2025,1665554.5289001465,1645.5646760915145,1012.147716281873,734.743488741093,1289.5519438226531,33,10,ok
district,35.0,beans,A,2020,979413.5711111136,1881.8605532711613,520.4495994183198,438.57434490100263,602.3248539356371,32,16,ok
district,35.0,beans,A,2021,2045886.3533657838,3304.430787796333,619.1342729651026,508.68295432791444,729.5855916022907,57,23,ok
district,35.0,beans,A,2022,2660131.4633540343,3256.941102026893,816.7576201174022,673.88525123149,959.6299890033144,56,21,ok
district,35.0,beans,A,2023,2415223.6278686523,3436.456174226698,702.8239283197457,592.4519107767022,813.1959458627892,59,17,ok
district,35.0,beans,A,2024,2217839.9985809326,2953.931372523723,750.8095886080445,697.3931390546011,804.2260381614878,54,27,ok
district,35.0,beans,A,2025,4069579.0143432617,5411.657853158525,752.002274491179,658.8292707504008,845.1752782319572,98,32,ok
district,35.0,beans,B,2021,738416.6834194947,1644.203854765883,449.1028781371135,328.0025868786015,570.2031693956255,49,16,ok
district,35.0,beans,B,2022,834282.6611938477,1521.3273911683077,548.3912707002257,395.285865767725,701.4966756327265,26,16,ok
district,35.0,beans,B,2023,709283.5662841797,1111.7593539856575,637.9829985161788,355.9438725545255,920.022124477832,19,10,use_with_caution
district,35.0,beans,B,2024,968447.0622558594,1314.3183971506958,736.8435718128505,623.3164286495851,850.370714976116,23,16,ok
district,35.0,beans,B,2025,2640342.8691711426,3666.602236236489,720.1061634330072,641.202123174775,799.0102036912393,68,27,ok
district,36.0,beans,A,2020,262973.4168844768,713.4566883610877,368.5905832469865,168.48609594431906,568.695070549654,11,10,use_with_caution
