district_code,zone_id,crop,season,year,actual_yield_kg_ha,actual_yield_kg_ha_ci_low,actual_yield_kg_ha_ci_high,attainable_yield_kg_ha,yield_gap_kg_ha,yield_gap_pct,n_plots,n_segments,reliability
11.0,0,beans,A,2020,397.695380221027,224.069782706654,571.3209777354,1024.449621601022,626.754241379995,61.179605923470994,8,6,suppressed
11.0,0,beans,A,2021,336.0563510979842,203.94605477481247,468.1666474211559,1024.449621601022,688.3932705030379,67.196400485483,3,3,suppressed
11.0,0,beans,A,2022,1195.9305455800904,396.2116522418819,1995.649438918299,1024.449621601022,-171.4809239790684,-16.73883423482318,4,3,suppressed
11.0,0,beans,A,2023,87.58056349562628,-12.193726227704502,187.35485321895706,1024.449621601022,936.8690581053958,91.45096433744058,6,5,suppressed
11.0,0,beans,A,2024,1064.660032035974,1064.660032035974,1064.660032035974,1024.449621601022,-40.21041043495188,-3.925074458235494,1,1,suppressed
11.0,0,beans,A,2025,840.2838442106341,562.725398124793,1117.8422902964753,1024.449621601022,184.16577739038792,17.977045772399375,3,2,suppressed
11.0,0,beans,B,2020,395.4679653569095,316.83117571911544,474.1047549947035,1219.168459395855,823.7004940389456,67.56248389554968,20,13,ok
11.0,0,beans,B,2021,203.9139397761846,142.5800865608774,265.2477929914918,1219.168459395855,1015.2545196196704,83.27434258943741,20,9,suppressed
11.0,0,beans,B,2022,323.225333833195,57.9693013545978,588.4813663117923,1219.168459395855,895.94312556266,73.48804988004976,7,6,suppressed
11.0,0,beans,B,2023,651.527113181816,514.5858284617948,788.4683979018373,1219.168459395855,567.641346214039,46.559713863933716,19,9,suppressed
11.0,0,beans,B,2024,650.8762313351116,530.8384319844379,770.9140306857853,1219.168459395855,568.2922280607435,46.613101223300525,3,3,suppressed
11.0,0,beans,B,2025,771.6548601876191,541.7455547409439,1001.5641656342942,1219.168459395855,447.513599208236,36.706461339230856,10,7,suppressed
12.0,0,beans,A,2020,327.1043916697984,93.04213987762398,561.1666434619729,1024.449621601022,697.3452299312237,68.07023158848985,7,6,suppressed
12.0,0,beans,A,2021,557.8416362203419,398.6646355792707,717.0186368614131,1024.449621601022,466.60798538068013,45.54718704971159,17,13,ok
12.0,0,beans,A,2022,591.7709604655728,279.4954710069223,904.0464499242232,1024.449621601022,432.67866113544926,42.23523070458593,6,5,suppressed
12.0,0,beans,A,2023,543.1236660818237,409.4439568360348,676.8033753276126,1024.449621601022,481.3259555191984,46.98385800240489,20,11,ok
