district_code,crop,season,year,lead_months,model,predicted_yield_kg_ha,ci_low,ci_high,actual_yield_kg_ha,is_backtest,reliability
52.0,maize,B,2020,2,baseline_district_mean,1346.2177281163417,446.02014312692256,2246.415313105761,1278.232234703859,True,ok
53.0,maize,A,2020,2,baseline_district_mean,2118.2542613472947,1218.0566763578754,3018.451846336714,2130.862146511176,True,ok
53.0,maize,B,2020,2,baseline_district_mean,1429.6290512168193,529.4314662274002,2329.8266362062386,1436.5541784961233,True,use_with_caution
55.0,maize,A,2020,2,baseline_district_mean,1718.780411016963,818.5828260275438,2618.977996006382,1633.5001644616946,True,ok
56.0,maize,A,2020,2,baseline_district_mean,1912.6354933099299,1012.4379083205107,2812.833078299349,2009.7201126509742,True,ok
57.0,maize,A,2020,2,baseline_district_mean,803.8535567920363,-96.34402819738284,1704.0511417814555,886.3083015007892,True,use_with_caution
23.0,maize,A,2021,2,baseline_district_mean,1481.8913165947947,581.6937316053755,2382.088901584214,1363.9587481251908,True,ok
25.0,maize,A,2021,2,baseline_district_mean,1178.6285968902855,278.43101190086634,2078.8261818797046,657.412971055317,True,ok
31.0,maize,A,2021,2,baseline_district_mean,1318.7162406619314,418.5186556725122,2218.9138256513506,1017.6312136155285,True,ok
32.0,maize,A,2021,2,baseline_district_mean,929.5740580333988,29.376473043979672,1829.771643022818,1014.8755969947318,True,ok
33.0,maize,A,2021,2,baseline_district_mean,1609.1242248183196,708.9266398289004,2509.3218098077386,1741.7826407274624,True,ok
33.0,maize,B,2021,2,baseline_district_mean,1258.5080824070621,358.310497417643,2158.705667396481,1728.660179854952,True,ok
34.0,maize,B,2021,2,baseline_district_mean,1029.258050701183,129.06046571176387,1929.4556356906023,900.0783251407416,True,ok
35.0,maize,A,2021,2,baseline_district_mean,467.5000177825797,-432.6975672068395,1367.6976027719988,646.9979911147182,True,use_with_caution
35.0,maize,B,2021,2,baseline_district_mean,822.7211024786792,-77.47648251073997,1722.9186874680984,344.028435260622,True,ok
41.0,maize,A,2021,2,baseline_district_mean,1041.7852555926684,141.5876706032492,1941.9828405820876,1337.5284768771414,True,ok
42.0,maize,A,2021,2,baseline_district_mean,1521.6246109533583,621.4270259639392,2421.8221959427774,1636.9973790200759,True,ok
43.0,maize,A,2021,2,baseline_district_mean,1907.8403663625852,1007.642781373166,2808.0379513520043,1650.271215782895,True,ok
44.0,maize,A,2021,2,baseline_district_mean,1590.30111634056,690.1035313511408,2490.498701329979,1387.240259319168,True,ok
45.0,maize,A,2021,2,baseline_district_mean,1362.9407515840383,462.7431665946191,2263.1383365734573,1024.1200403532655,True,use_with_caution
51.0,maize,A,2021,2,baseline_district_mean,1568.753867199145,668.5562822097257,2468.951452188564,1587.4512606691612,True,ok
52.0,maize,A,2021,2,baseline_district_mean,2699.09743408364,1798.8998490942208,3599.2950190730594,1874.1628679883943,True,ok
52.0,maize,B,2021,2,baseline_district_mean,1305.8468211058566,405.64923611643746,2206.044406095276,1480.086769756284,True,ok
53.0,maize,A,2021,2,baseline_district_mean,2170.8414387013327,1270.6438537119134,3071.039023690752,1815.339082386949,True,ok
54.0,maize,A,2021,2,baseline_district_mean,2153.966328278368,1253.7687432889488,3054.1639132677874,1553.203837412062,True,ok
55.0,maize,A,2021,2,baseline_district_mean,1733.482890681381,833.2853056919618,2633.6804756708,1545.2852864751865,True,ok
56.0,maize,A,2021,2,baseline_district_mean,1902.1456521243997,1001.9480671349805,2802.3432371138188,2072.6591597641554,True,ok
57.0,maize,A,2021,2,baseline_district_mean,686.548660110883,-213.64892487853615,1586.746245100302,1120.9180948630958,True,ok
31.0,maize,A,2022,2,baseline_district_mean,1209.2210151393388,309.0234301499196,2109.418600128758,1565.107341228493,True,ok
32.0,maize,A,2022,2,baseline_district_mean,938.5502792299346,38.35269424051546,1838.7478642193537,969.9944910120529,True,ok
