nisr_district_code,district_name,year,season,ndvi_mean,rainfall_mm,cropland_fraction,soil_ph,soil_nitrogen,soil_carbon,soil_texture_class
57,Bugesera,2019,A,0.5131968441930154,538.2421671977293,0.5049906484712653,5.660240944028635,1.3504476797930618,14.344251426445078,6.000000000000002
53,Gatsibo,2019,A,0.6072803073378191,572.046668116525,0.2961878034151186,5.792515877397288,1.6454895905539986,17.825969028798056,4.0
54,Kayonza,2019,A,0.5232861717001185,561.0134064314859,0.2439904960701275,5.824403248985585,1.5153018921358865,16.05712818359152,6.000000000000002
55,Kirehe,2019,A,0.559083540095696,613.0719358115978,0.3118113414469399,5.7729558041531615,1.5905993807337084,16.738508494975054,5.999999999999997
56,Ngoma,2019,A,0.5725612341515365,590.1643175300276,0.3163563479353907,5.720967894251962,1.768648997668824,18.15622726706576,4.0
52,Nyagatare,2019,A,0.5859170125521626,538.6490991719726,0.4331829577055246,5.856780332284723,1.4750028102971018,16.005914399109063,5.999999999999996
51,Rwamagana,2019,A,0.6064669666046538,547.1206165886981,0.4360739143353446,5.726947287854433,1.7190665737868631,18.261576428884705,4.0
12,Gasabo,2019,A,0.5691029975239263,558.7692980046473,0.2274570799475952,5.641153439908944,1.8456148639104828,19.098679059588367,4.0
13,Kicukiro,2019,A,0.5373449220129267,541.7349277921886,0.303287305309155,5.827752801019645,1.5812451358230737,16.24563775369661,5.999999999999994
11,Nyarugenge,2019,A,0.5649215201400584,570.2570765822609,0.1986678180953994,5.709091606844496,1.7642841486918015,17.659446548270715,4.0
44,Burera,2019,A,0.528632798985631,686.5248336641165,0.38568392851408,5.406976250379428,2.433821090903338,24.01232431890586,4.0
42,Gakenke,2019,A,0.601063447717463,645.0743237737627,0.2579410949141075,5.171455437061975,2.069030807606118,20.39612634880352,4.0
45,Gicumbi,2019,A,0.6151571672649403,613.5990415387196,0.2883188584701546,5.265235291541486,2.2268693211628303,22.908296244558287,4.0
43,Musanze,2019,A,0.5762049417204874,775.7709929936947,0.291573854517323,5.673796014672782,2.9109730172037054,28.57159936402531,4.0
41,Rulindo,2019,A,0.5944490579219303,610.8466183881118,0.3414263780650473,5.2168141545868565,2.10942676729531,21.49791709592978,4.0
22,Gisagara,2019,A,0.6046048442138624,755.4560994881026,0.5093112285926478,5.570500038065256,1.623889511658961,17.386037060474134,6.000021417046774
24,Huye,2019,A,0.5810094002233996,711.6953209535152,0.4833686728385489,5.40877317156454,1.7275730769707376,18.58673622026258,6.000000000000003
28,Kamonyi,2019,A,0.5581878768059813,585.6611251820574,0.4065624281019001,5.606129831947957,1.5794665788457,16.88861845444729,5.999999999999995
27,Muhanga,2019,A,0.5650427834387428,650.1093276183836,0.2641198945752117,5.235876283328395,1.872457223435159,19.161555211351214,4.0
25,Nyamagabe,2019,A,0.5935310172375617,756.6973526246715,0.2276284915773004,5.0520380540815415,2.536503122235396,27.07529462319735,4.0
21,Nyanza,2019,A,0.5694763902959453,670.3785178134391,0.5539588254004186,5.579533429974469,1.5074648191338065,16.604768862324192,5.99999999999999
23,Nyaruguru,2019,A,0.6036936173222877,839.3051180877259,0.2013509063626925,5.076067468531107,2.5837453713874696,26.66213979275073,4.0
26,Ruhango,2019,A,0.5297548272226577,628.0793304244829,0.5481876866494673,5.526687008924746,1.4713944596379582,15.828438309672316,6.000000000000011
31,Karongi,2019,A,0.5905669468916914,673.7861831116215,0.3120964988572962,5.182876484834076,2.021801567669704,20.7812169118616,4.0
35,Ngororero,2019,A,0.5889242062328176,670.7436930711687,0.3269940679487115,5.089310070302513,2.1042279868909253,21.23020105916489,4.0
34,Nyabihu,2019,A,0.6217255940044129,749.6427326127904,0.3624619882966331,5.300566467810268,2.7500651979338784,27.501141507355868,4.0
37,Nyamasheke,2019,A,0.6326425040987252,797.1889300144089,0.0917079198594469,5.13117097306597,2.468193519753133,25.00748302156944,4.0
33,Rubavu,2019,A,0.5532872851639887,675.2361369141038,0.4608654722220418,5.827244668222172,2.4490913647497754,25.019653271313967,4.0
36,Rusizi,2019,A,0.651133029237138,848.369076658275,0.1636915238573829,5.19196360434947,2.646109207521904,25.270138645469512,4.0
32,Rutsiro,2019,A,0.5571589412734654,649.0052759287695,0.2977179469119762,5.126987198545688,2.3713857030109136,23.40081931348895,4.0
57,Bugesera,2019,B,0.5226508381003224,356.31077103107845,0.5049906484712653,5.660240944028635,1.3504476797930618,14.344251426445078,6.000000000000002
53,Gatsibo,2019,B,0.6307535700736389,423.6768769102685,0.2961878034151186,5.792515877397288,1.6454895905539986,17.825969028798056,4.0
54,Kayonza,2019,B,0.5669474497022455,412.3639655917085,0.2439904960701275,5.824403248985585,1.5153018921358865,16.05712818359152,6.000000000000002
55,Kirehe,2019,B,0.6208109947589386,385.4544785429072,0.3118113414469399,5.7729558041531615,1.5905993807337084,16.738508494975054,5.999999999999997
56,Ngoma,2019,B,0.6059006088669098,383.42629277709705,0.3163563479353907,5.720967894251962,1.768648997668824,18.15622726706576,4.0
52,Nyagatare,2019,B,0.62687311204938,358.2329534186587,0.4331829577055246,5.856780332284723,1.4750028102971018,16.005914399109063,5.999999999999996
51,Rwamagana,2019,B,0.6211227979539369,400.3071272290055,0.4360739143353446,5.726947287854433,1.7190665737868631,18.261576428884705,4.0
12,Gasabo,2019,B,0.550343704991379,392.1435155239323,0.2274570799475952,5.641153439908944,1.8456148639104828,19.098679059588367,4.0
13,Kicukiro,2019,B,0.521868847278008,364.9405601813243,0.303287305309155,5.827752801019645,1.5812451358230737,16.24563775369661,5.999999999999994
11,Nyarugenge,2019,B,0.5386244277548878,384.5389041475638,0.1986678180953994,5.709091606844496,1.7642841486918015,17.659446548270715,4.0
44,Burera,2019,B,0.545377773986588,424.7685320075,0.38568392851408,5.406976250379428,2.433821090903338,24.01232431890586,4.0
42,Gakenke,2019,B,0.5911235787654903,459.2264089695496,0.2579410949141075,5.171455437061975,2.069030807606118,20.39612634880352,4.0
45,Gicumbi,2019,B,0.5982642604804539,449.0943615817001,0.2883188584701546,5.265235291541486,2.2268693211628303,22.908296244558287,4.0
43,Musanze,2019,B,0.5115658417939536,504.28098706282594,0.291573854517323,5.673796014672782,2.9109730172037054,28.57159936402531,4.0
41,Rulindo,2019,B,0.573103517653617,465.4542772283005,0.3414263780650473,5.2168141545868565,2.10942676729531,21.49791709592978,4.0
22,Gisagara,2019,B,0.6093973997058006,507.5628640695267,0.5093112285926478,5.570500038065256,1.623889511658961,17.386037060474134,6.000021417046774
24,Huye,2019,B,0.5721866426442959,523.8531438306683,0.4833686728385489,5.40877317156454,1.7275730769707376,18.58673622026258,6.000000000000003
28,Kamonyi,2019,B,0.5483139219031473,409.5118278944796,0.4065624281019001,5.606129831947957,1.5794665788457,16.88861845444729,5.999999999999995
27,Muhanga,2019,B,0.5633443370665641,420.9472775973431,0.2641198945752117,5.235876283328395,1.872457223435159,19.161555211351214,4.0
25,Nyamagabe,2019,B,0.5294821828044763,509.55660977627895,0.2276284915773004,5.0520380540815415,2.536503122235396,27.07529462319735,4.0
21,Nyanza,2019,B,0.5731984091723786,462.9332355507761,0.5539588254004186,5.579533429974469,1.5074648191338065,16.604768862324192,5.99999999999999
23,Nyaruguru,2019,B,0.5663452883830669,537.6566478201263,0.2013509063626925,5.076067468531107,2.5837453713874696,26.66213979275073,4.0
26,Ruhango,2019,B,0.547147871737458,404.8621624434837,0.5481876866494673,5.526687008924746,1.4713944596379582,15.828438309672316,6.000000000000011
31,Karongi,2019,B,0.616591181150886,425.3656644221084,0.3120964988572962,5.182876484834076,2.021801567669704,20.7812169118616,4.0
35,Ngororero,2019,B,0.5717127789703497,434.0910834592158,0.3269940679487115,5.089310070302513,2.1042279868909253,21.23020105916489,4.0
34,Nyabihu,2019,B,0.5556526692690433,478.566347553267,0.3624619882966331,5.300566467810268,2.7500651979338784,27.501141507355868,4.0
37,Nyamasheke,2019,B,0.6153501329722474,502.6084370663325,0.0917079198594469,5.13117097306597,2.468193519753133,25.00748302156944,4.0
33,Rubavu,2019,B,0.5375101077093967,404.0993005955481,0.4608654722220418,5.827244668222172,2.4490913647497754,25.019653271313967,4.0
36,Rusizi,2019,B,0.6433206068875316,512.5332594947827,0.1636915238573829,5.19196360434947,2.646109207521904,25.270138645469512,4.0
32,Rutsiro,2019,B,0.5889804657036152,412.0602463730392,0.2977179469119762,5.126987198545688,2.3713857030109136,23.40081931348895,4.0
57,Bugesera,2020,A,0.5113708048001274,663.1584961061213,0.5049906484712653,5.660240944028635,1.3504476797930618,14.344251426445078,6.000000000000002
53,Gatsibo,2020,A,0.5843775510833714,688.3940128815673,0.2961878034151186,5.792515877397288,1.6454895905539986,17.825969028798056,4.0
54,Kayonza,2020,A,0.5333347831629877,687.1751205691136,0.2439904960701275,5.824403248985585,1.5153018921358865,16.05712818359152,6.000000000000002
55,Kirehe,2020,A,0.5361994928199549,711.1855914445216,0.3118113414469399,5.7729558041531615,1.5905993807337084,16.738508494975054,5.999999999999997
56,Ngoma,2020,A,0.540375670024496,682.8276720006919,0.3163563479353907,5.720967894251962,1.768648997668824,18.15622726706576,4.0
52,Nyagatare,2020,A,0.5923710000060065,604.2882383991043,0.4331829577055246,5.856780332284723,1.4750028102971018,16.005914399109063,5.999999999999996
51,Rwamagana,2020,A,0.5747381018105155,628.0259420231316,0.4360739143353446,5.726947287854433,1.7190665737868631,18.261576428884705,4.0
12,Gasabo,2020,A,0.573230581778178,678.0820555040017,0.2274570799475952,5.641153439908944,1.8456148639104828,19.098679059588367,4.0
13,Kicukiro,2020,A,0.5153145443668773,667.229413572742,0.303287305309155,5.827752801019645,1.5812451358230737,16.24563775369661,5.999999999999994
11,Nyarugenge,2020,A,0.539621504555739,694.8761007300591,0.1986678180953994,5.709091606844496,1.7642841486918015,17.659446548270715,4.0
44,Burera,2020,A,0.5098783192039273,703.9202547399353,0.38568392851408,5.406976250379428,2.433821090903338,24.01232431890586,4.0
42,Gakenke,2020,A,0.5970240892891543,731.5203344925261,0.2579410949141075,5.171455437061975,2.069030807606118,20.39612634880352,4.0
45,Gicumbi,2020,A,0.6030389564062483,688.6261046638595,0.2883188584701546,5.265235291541486,2.2268693211628303,22.908296244558287,4.0
43,Musanze,2020,A,0.5454669854189705,776.3161351710509,0.291573854517323,5.673796014672782,2.9109730172037054,28.57159936402531,4.0
41,Rulindo,2020,A,0.5770835247848268,723.0139257357808,0.3414263780650473,5.2168141545868565,2.10942676729531,21.49791709592978,4.0
22,Gisagara,2020,A,0.5748813408739746,825.0440059849575,0.5093112285926478,5.570500038065256,1.623889511658961,17.386037060474134,6.000021417046774
24,Huye,2020,A,0.5651555301947727,826.018544953271,0.4833686728385489,5.40877317156454,1.7275730769707376,18.58673622026258,6.000000000000003
28,Kamonyi,2020,A,0.5608586611882024,715.9638183204354,0.4065624281019001,5.606129831947957,1.5794665788457,16.88861845444729,5.999999999999995
27,Muhanga,2020,A,0.5755041899251039,792.6518841940347,0.2641198945752117,5.235876283328395,1.872457223435159,19.161555211351214,4.0
25,Nyamagabe,2020,A,0.5325836034173566,853.8731418463535,0.2276284915773004,5.0520380540815415,2.536503122235396,27.07529462319735,4.0
21,Nyanza,2020,A,0.5510247810116282,763.4675807513199,0.5539588254004186,5.579533429974469,1.5074648191338065,16.604768862324192,5.99999999999999
23,Nyaruguru,2020,A,0.5651466504417245,936.7264794894688,0.2013509063626925,5.076067468531107,2.5837453713874696,26.66213979275073,4.0
26,Ruhango,2020,A,0.5397301287295696,738.1987729221092,0.5481876866494673,5.526687008924746,1.4713944596379582,15.828438309672316,6.000000000000011
31,Karongi,2020,A,0.5664602354665005,737.4021776702826,0.3120964988572962,5.182876484834076,2.021801567669704,20.7812169118616,4.0
35,Ngororero,2020,A,0.5766272697297703,773.1035188285633,0.3269940679487115,5.089310070302513,2.1042279868909253,21.23020105916489,4.0
34,Nyabihu,2020,A,0.561627151857092,767.7813275564174,0.3624619882966331,5.300566467810268,2.7500651979338784,27.501141507355868,4.0
37,Nyamasheke,2020,A,0.5568281302005044,791.9826137352633,0.0917079198594469,5.13117097306597,2.468193519753133,25.00748302156944,4.0
33,Rubavu,2020,A,0.5203491693962088,658.3048495214898,0.4608654722220418,5.827244668222172,2.4490913647497754,25.019653271313967,4.0
36,Rusizi,2020,A,0.5933858224377645,842.7722854304968,0.1636915238573829,5.19196360434947,2.646109207521904,25.270138645469512,4.0
32,Rutsiro,2020,A,0.5274304041855934,705.8441380177082,0.2977179469119762,5.126987198545688,2.3713857030109136,23.40081931348895,4.0
57,Bugesera,2020,B,0.5356667224695266,343.6871385954964,0.5049906484712653,5.660240944028635,1.3504476797930618,14.344251426445078,6.000000000000002
53,Gatsibo,2020,B,0.6178247772672112,433.1403346226962,0.2961878034151186,5.792515877397288,1.6454895905539986,17.825969028798056,4.0
54,Kayonza,2020,B,0.5947915834392574,451.386451740047,0.2439904960701275,5.824403248985585,1.5153018921358865,16.05712818359152,6.000000000000002
55,Kirehe,2020,B,0.5990721845078758,409.1804334261455,0.3118113414469399,5.7729558041531615,1.5905993807337084,16.738508494975054,5.999999999999997
56,Ngoma,2020,B,0.5976324645636117,393.732683015837,0.3163563479353907,5.720967894251962,1.768648997668824,18.15622726706576,4.0
52,Nyagatare,2020,B,0.6258991742366478,380.5060685462756,0.4331829577055246,5.856780332284723,1.4750028102971018,16.005914399109063,5.999999999999996
51,Rwamagana,2020,B,0.6372683015994529,391.3810543158327,0.4360739143353446,5.726947287854433,1.7190665737868631,18.261576428884705,4.0
12,Gasabo,2020,B,0.5674495114261534,375.7568797291771,0.2274570799475952,5.641153439908944,1.8456148639104828,19.098679059588367,4.0
13,Kicukiro,2020,B,0.4887615188693687,364.16190162608206,0.303287305309155,5.827752801019645,1.5812451358230737,16.24563775369661,5.999999999999994
11,Nyarugenge,2020,B,0.5060954101128843,361.7934128368237,0.1986678180953994,5.709091606844496,1.7642841486918015,17.659446548270715,4.0
44,Burera,2020,B,0.5485189467689938,438.9341911506239,0.38568392851408,5.406976250379428,2.433821090903338,24.01232431890586,4.0
42,Gakenke,2020,B,0.5727841545826357,430.9947374081606,0.2579410949141075,5.171455437061975,2.069030807606118,20.39612634880352,4.0
45,Gicumbi,2020,B,0.6141097392337895,413.7674492746676,0.2883188584701546,5.265235291541486,2.2268693211628303,22.908296244558287,4.0
43,Musanze,2020,B,0.547752019494456,538.7625137795924,0.291573854517323,5.673796014672782,2.9109730172037054,28.57159936402531,4.0
41,Rulindo,2020,B,0.5848829083662566,411.1380978915074,0.3414263780650473,5.2168141545868565,2.10942676729531,21.49791709592978,4.0
22,Gisagara,2020,B,0.603949763496354,470.4419168087594,0.5093112285926478,5.570500038065256,1.623889511658961,17.386037060474134,6.000021417046774
24,Huye,2020,B,0.5869309547631113,479.7292076874304,0.4833686728385489,5.40877317156454,1.7275730769707376,18.58673622026258,6.000000000000003
28,Kamonyi,2020,B,0.5438263504710215,366.334358458864,0.4065624281019001,5.606129831947957,1.5794665788457,16.88861845444729,5.999999999999995
27,Muhanga,2020,B,0.5194669227369934,421.8049340507054,0.2641198945752117,5.235876283328395,1.872457223435159,19.161555211351214,4.0
25,Nyamagabe,2020,B,0.5870200562347198,539.6486741892624,0.2276284915773004,5.0520380540815415,2.536503122235396,27.07529462319735,4.0
21,Nyanza,2020,B,0.5837495352657939,430.215058606886,0.5539588254004186,5.579533429974469,1.5074648191338065,16.604768862324192,5.99999999999999
23,Nyaruguru,2020,B,0.6030520530826381,578.976143760044,0.2013509063626925,5.076067468531107,2.5837453713874696,26.66213979275073,4.0
