district_name,gaul_district_code,rainfall_mm,year,season
Ngoma,21989,613.4625087524232,2021,A
Nyagatare,21992,571.0724864785644,2021,A
Rwamagana,22003,580.1974461170042,2021,A
Gasabo,21977,665.6349354078927,2021,A
Kicukiro,21985,621.0663796718057,2021,A
Nyarugenge,21996,672.4686949230322,2021,A
Burera,21975,747.5293387511415,2021,A
Gakenke,21976,743.3516793769926,2021,A
Gicumbi,21979,686.4480512616739,2021,A
Musanze,21988,828.948558123425,2021,A
Rulindo,22000,737.1015832862519,2021,A
Gisagara,21980,818.0118312442524,2021,A
Huye,21981,792.6312241616117,2021,A
Kamonyi,21982,688.2653360479276,2021,A
Muhanga,21987,753.5241570503841,2021,A
Nyamagabe,21993,831.5950765284505,2021,A
Nyanza,21995,742.4425745560853,2021,A
Nyaruguru,21997,889.8847780900093,2021,A
Ruhango,21999,705.3918253642937,2021,A
Karongi,21983,737.4015007053647,2021,A
Ngororero,21990,755.2712162751932,2021,A
Nyabihu,21991,803.7619405064313,2021,A
Nyamasheke,21994,811.3489461823625,2021,A
Rubavu,21998,732.7371092355702,2021,A
Rusizi,22001,869.8284206244708,2021,A
Rutsiro,22002,726.7943414109666,2021,A
Bugesera,21974,392.9931566881498,2021,B
Gatsibo,21978,456.342392971027,2021,B
Kayonza,21984,456.4245389668224,2021,B
Kirehe,21986,459.4212392881008,2021,B
Ngoma,21989,454.20150043750806,2021,B
Nyagatare,21992,382.282573674072,2021,B
Rwamagana,22003,452.7452062951653,2021,B
Gasabo,21977,460.66199884084983,2021,B
Kicukiro,21985,450.628720448262,2021,B
Nyarugenge,21996,446.1796921408176,2021,B
Burera,21975,384.4574141732004,2021,B
Gakenke,21976,428.8320613249852,2021,B
Gicumbi,21979,466.37395253762406,2021,B
Musanze,21988,411.9036327051777,2021,B
Rulindo,22000,488.21906265903186,2021,B
Gisagara,21980,516.6237042410594,2021,B
Huye,21981,547.8359318352084,2021,B
Kamonyi,21982,427.1082795563201,2021,B
Muhanga,21987,426.43962214509753,2021,B
Nyamagabe,21993,480.3094848054626,2021,B
Nyanza,21995,494.1924966429607,2021,B
Nyaruguru,21997,512.4418814552182,2021,B
Ruhango,21999,428.864507881635,2021,B
Karongi,21983,369.0856693539186,2021,B
Ngororero,21990,387.74452069702124,2021,B
Nyabihu,21991,394.8314336814913,2021,B
Nyamasheke,21994,430.564853663778,2021,B
Rubavu,21998,347.4184361341012,2021,B
Rusizi,22001,458.04432743624847,2021,B
Rutsiro,22002,357.04109025606306,2021,B
Bugesera,21974,487.21671734762276,2022,A
Gatsibo,21978,515.1849421210857,2022,A
Kayonza,21984,503.37823463928055,2022,A
Kirehe,21986,527.9737991584265,2022,A
Ngoma,21989,514.218073717083,2022,A
Nyagatare,21992,509.3698437732201,2022,A
Rwamagana,22003,460.52371251613783,2022,A
Gasabo,21977,498.5902690410936,2022,A
Kicukiro,21985,481.12254510903796,2022,A
Nyarugenge,21996,513.7606533791726,2022,A
Burera,21975,673.3296230042472,2022,A
Gakenke,21976,645.1842176247266,2022,A
Gicumbi,21979,558.8210631966524,2022,A
Musanze,21988,756.9375769182475,2022,A
Rulindo,22000,574.2112953675205,2022,A
Gisagara,21980,705.9860518567752,2022,A
Huye,21981,687.6272888391078,2022,A
Kamonyi,21982,551.0289210093877,2022,A
Muhanga,21987,634.9212131415857,2022,A
Nyamagabe,21993,773.9644068691698,2022,A
Nyanza,21995,610.3396738812496,2022,A
Nyaruguru,21997,852.307883006263,2022,A
Ruhango,21999,574.7969534142658,2022,A
Karongi,21983,676.8309978452666,2022,A
Ngororero,21990,654.7851641824869,2022,A
Nyabihu,21991,721.6449593311445,2022,A
Nyamasheke,21994,815.7230052105741,2022,A
Rubavu,21998,670.7343946387044,2022,A
Rusizi,22001,883.1146402235223,2022,A
Rutsiro,22002,659.4307858388304,2022,A
