nisr_district_code,district_name,ndvi_climatology_mean,season
57,Bugesera,0.5232000042786433,A
53,Gatsibo,0.5898774882200208,A
54,Kayonza,0.5148881640784552,A
55,Kirehe,0.5567120985461607,A
56,Ngoma,0.5780966319788349,A
52,Nyagatare,0.5906377629937875,A
51,Rwamagana,0.5867641888615014,A
12,Gasabo,0.568861695178867,A
13,Kicukiro,0.556269903923189,A
11,Nyarugenge,0.5557499918145764,A
44,Burera,0.5342617028314773,A
42,Gakenke,0.5931116681670293,A
45,Gicumbi,0.5934668573502707,A
43,Musanze,0.5785218633809919,A
41,Rulindo,0.5710089314384026,A
22,Gisagara,0.5952345300902333,A
24,Huye,0.5634030467912526,A
28,Kamonyi,0.5751026336519572,A
27,Muhanga,0.5774512964947617,A
25,Nyamagabe,0.5629983440811737,A
21,Nyanza,0.5788589876681618,A
23,Nyaruguru,0.5735772872407364,A
26,Ruhango,0.5569278808089793,A
31,Karongi,0.5893821642012579,A
35,Ngororero,0.5900406158512127,A
34,Nyabihu,0.5948705806999535,A
37,Nyamasheke,0.6023774613954869,A
33,Rubavu,0.5769727808837313,A
36,Rusizi,0.6203227980243009,A
32,Rutsiro,0.571044016756271,A
57,Bugesera,0.5739001134332963,B
53,Gatsibo,0.6176071858614843,B
54,Kayonza,0.5703723644135502,B
55,Kirehe,0.6163592754309388,B
56,Ngoma,0.6242072038268034,B
52,Nyagatare,0.6073564576526104,B
51,Rwamagana,0.6359377655041667,B
12,Gasabo,0.6049687501461771,B
13,Kicukiro,0.5864635444781099,B
11,Nyarugenge,0.5799092271241147,B
44,Burera,0.5486768065062346,B
42,Gakenke,0.6029489539565223,B
45,Gicumbi,0.6220479754459085,B
43,Musanze,0.5428995679856783,B
41,Rulindo,0.5951146362825944,B
22,Gisagara,0.6359075812576838,B
24,Huye,0.5941235451482738,B
28,Kamonyi,0.5983721946542578,B
27,Muhanga,0.5709007415833539,B
25,Nyamagabe,0.5688025684225338,B
21,Nyanza,0.6203796153210037,B
23,Nyaruguru,0.5833068673749423,B
26,Ruhango,0.5826339460452773,B
31,Karongi,0.6189242882136365,B
35,Ngororero,0.5741294347246438,B
34,Nyabihu,0.5461900347560178,B
37,Nyamasheke,0.6352042951318045,B
33,Rubavu,0.5984650200374774,B
36,Rusizi,0.6680329492098186,B
32,Rutsiro,0.5994311316110301,B
