nisr_district_code,district_name,ndvi_mean,ndvi_peak,rainfall_mm,year,season,lead_months
31,Karongi,0.5923098075369769,0.7554596215591012,386.0078539914668,2019,B,3
35,Ngororero,0.5359107718671676,0.7299363666109593,404.7725811934028,2019,B,3
34,Nyabihu,0.5178818491870825,0.7526437426932286,432.89167060737134,2019,B,3
37,Nyamasheke,0.5928282218086239,0.7903096440483572,441.7786810361792,2019,B,3
33,Rubavu,0.5024184339140028,0.7442060462489801,353.402839152862,2019,B,3
36,Rusizi,0.6213744441141783,0.819322724399845,459.4402112945007,2019,B,3
32,Rutsiro,0.5596421633682765,0.760931776313515,367.8417993063945,2019,B,3
57,Bugesera,0.5226508381003224,0.6612190589584521,356.31077103107845,2019,B,4
53,Gatsibo,0.6307535700736389,0.7545527148786776,423.6768769102685,2019,B,4
54,Kayonza,0.5669474497022455,0.7023887917313387,412.3639655917085,2019,B,4
55,Kirehe,0.6208109947589386,0.7432922221835047,385.4544785429072,2019,B,4
56,Ngoma,0.6059006088669098,0.7407806419971237,383.42629277709705,2019,B,4
52,Nyagatare,0.62687311204938,0.7534019000368151,358.2329534186587,2019,B,4
51,Rwamagana,0.6211227979539369,0.747172475154327,400.3071272290055,2019,B,4
12,Gasabo,0.550343704991379,0.6888585316743265,392.1435155239323,2019,B,4
13,Kicukiro,0.521868847278008,0.6531506129535845,364.9405601813243,2019,B,4
11,Nyarugenge,0.5386244277548878,0.6658604190041748,384.5389041475638,2019,B,4
44,Burera,0.545377773986588,0.7398468864787989,424.7685320075,2019,B,4
42,Gakenke,0.5911235787654903,0.758918837748766,459.2264089695496,2019,B,4
45,Gicumbi,0.5982642604804539,0.7641069469975663,449.0943615817001,2019,B,4
43,Musanze,0.5115658417939536,0.7610549603108682,504.28098706282594,2019,B,4
41,Rulindo,0.573103517653617,0.7377541269984245,465.4542772283005,2019,B,4
22,Gisagara,0.6093973997058006,0.7393863705559178,507.5628640695267,2019,B,4
24,Huye,0.5721866426442959,0.7314621763655488,523.8531438306683,2019,B,4
28,Kamonyi,0.5483139219031473,0.6933652490628435,409.5118278944796,2019,B,4
27,Muhanga,0.5633443370665641,0.7284273326160311,420.9472775973431,2019,B,4
25,Nyamagabe,0.5294821828044763,0.7574863928254462,509.55660977627895,2019,B,4
21,Nyanza,0.5731984091723786,0.7211463591684455,462.9332355507761,2019,B,4
23,Nyaruguru,0.5663452883830669,0.7867664102601118,537.6566478201263,2019,B,4
26,Ruhango,0.547147871737458,0.6904606090053085,404.8621624434837,2019,B,4
31,Karongi,0.616591181150886,0.7644194298150536,425.3656644221084,2019,B,4
35,Ngororero,0.5717127789703497,0.7500357959636059,434.0910834592158,2019,B,4
34,Nyabihu,0.5556526692690433,0.7818257016532625,478.566347553267,2019,B,4
37,Nyamasheke,0.6153501329722474,0.8093980025176468,502.6084370663325,2019,B,4
33,Rubavu,0.5375101077093967,0.7746438987883816,404.0993005955481,2019,B,4
36,Rusizi,0.6433206068875316,0.8289060146367428,512.5332594947827,2019,B,4
32,Rutsiro,0.5889804657036152,0.7832440692988554,412.0602463730392,2019,B,4
57,Bugesera,0.5515245038136691,0.6808597371498627,292.2736892875673,2020,B,2
53,Gatsibo,0.6286782101860279,0.7522831387994102,373.7678891533504,2020,B,2
54,Kayonza,0.6073517221325275,0.7255865526472515,392.8515354766469,2020,B,2
55,Kirehe,0.6185769333236996,0.7563625115180257,352.12927751047204,2020,B,2
56,Ngoma,0.6016199806320127,0.7325426573865425,337.80516753352066,2020,B,2
