nisr_district_code,district_name,ndvi_mean,year,season
52,Nyagatare,0.618902824126288,2021,A
51,Rwamagana,0.5771302936384337,2021,A
12,Gasabo,0.535806348904337,2021,A
13,Kicukiro,0.5067248029796777,2021,A
11,Nyarugenge,0.5448769270463204,2021,A
44,Burera,0.5290278874436384,2021,A
42,Gakenke,0.593841479726514,2021,A
45,Gicumbi,0.5941840044954487,2021,A
43,Musanze,0.5520811624557367,2021,A
41,Rulindo,0.5904172320772954,2021,A
22,Gisagara,0.5653344204067281,2021,A
24,Huye,0.5639810725640888,2021,A
28,Kamonyi,0.5665667390967284,2021,A
27,Muhanga,0.5795819099746523,2021,A
25,Nyamagabe,0.5594891648490818,2021,A
21,Nyanza,0.5601543954483689,2021,A
23,Nyaruguru,0.5904073643522751,2021,A
26,Ruhango,0.5644399472316486,2021,A
31,Karongi,0.6110542812880535,2021,A
35,Ngororero,0.5769062652977588,2021,A
34,Nyabihu,0.5799478224975521,2021,A
37,Nyamasheke,0.5956497721578226,2021,A
33,Rubavu,0.5264458649551139,2021,A
36,Rusizi,0.6144142935571322,2021,A
32,Rutsiro,0.5426260748934979,2021,A
57,Bugesera,0.556824874068122,2021,B
53,Gatsibo,0.6062099372870895,2021,B
54,Kayonza,0.5622082230565687,2021,B
55,Kirehe,0.6060815313252088,2021,B
56,Ngoma,0.5989261015985463,2021,B
52,Nyagatare,0.6008890400320678,2021,B
51,Rwamagana,0.6085399662372638,2021,B
12,Gasabo,0.5665139785862083,2021,B
13,Kicukiro,0.5105590404635458,2021,B
11,Nyarugenge,0.5533208182353273,2021,B
44,Burera,0.5076059618842235,2021,B
42,Gakenke,0.5641964383859548,2021,B
45,Gicumbi,0.6016040269015684,2021,B
43,Musanze,0.5092904354099315,2021,B
41,Rulindo,0.5841600579167344,2021,B
22,Gisagara,0.6003205075725978,2021,B
24,Huye,0.5631393249134187,2021,B
28,Kamonyi,0.5739787793016483,2021,B
27,Muhanga,0.55017910148161,2021,B
25,Nyamagabe,0.5475354200708459,2021,B
21,Nyanza,0.5852547444312188,2021,B
23,Nyaruguru,0.5722317611641791,2021,B
26,Ruhango,0.5565889342465514,2021,B
31,Karongi,0.6245477391128776,2021,B
35,Ngororero,0.5459297185765107,2021,B
34,Nyabihu,0.5389889417794796,2021,B
37,Nyamasheke,0.6366396903933486,2021,B
33,Rubavu,0.5778726935680185,2021,B
36,Rusizi,0.6643979727500843,2021,B
32,Rutsiro,0.6063733074207546,2021,B
57,Bugesera,0.49883406902251354,2022,A
53,Gatsibo,0.6062451383237594,2022,A
54,Kayonza,0.507309133344701,2022,A
55,Kirehe,0.5506421260397769,2022,A
56,Ngoma,0.5651226578343139,2022,A
52,Nyagatare,0.6084703707900364,2022,A
51,Rwamagana,0.5689393471225561,2022,A
12,Gasabo,0.5237418574404058,2022,A
13,Kicukiro,0.4763317611058135,2022,A
11,Nyarugenge,0.521540910846654,2022,A
44,Burera,0.5471162310441278,2022,A
42,Gakenke,0.6117821636817835,2022,A
45,Gicumbi,0.6165198966947016,2022,A
43,Musanze,0.5775741717463849,2022,A
41,Rulindo,0.5689934960775346,2022,A
22,Gisagara,0.5935525684281157,2022,A
24,Huye,0.573761703356593,2022,A
28,Kamonyi,0.5643707918767773,2022,A
27,Muhanga,0.5743173024818377,2022,A
25,Nyamagabe,0.5700796931736878,2022,A
21,Nyanza,0.5714388592245756,2022,A
