nisr_district_code,district_name,soil_ph,soil_nitrogen,soil_carbon,soil_texture_class
57,Bugesera,5.660240944028635,1.3504476797930618,14.344251426445078,6.000000000000002
53,Gatsibo,5.792515877397288,1.6454895905539986,17.825969028798056,4.0
54,Kayonza,5.824403248985585,1.5153018921358863,16.05712818359152,6.000000000000002
55,Kirehe,5.7729558041531615,1.5905993807337084,16.738508494975054,5.999999999999997
56,Ngoma,5.720967894251962,1.768648997668824,18.156227267065756,4.0
52,Nyagatare,5.856780332284723,1.4750028102971018,16.005914399109063,5.999999999999996
51,Rwamagana,5.726947287854433,1.7190665737868633,18.261576428884702,4.0
12,Gasabo,5.641153439908944,1.8456148639104828,19.098679059588367,4.0
13,Kicukiro,5.827752801019645,1.5812451358230737,16.24563775369661,5.999999999999994
11,Nyarugenge,5.7090916068444955,1.7642841486918017,17.659446548270715,4.0
44,Burera,5.406976250379428,2.433821090903338,24.01232431890586,4.0
42,Gakenke,5.171455437061975,2.069030807606118,20.396126348803516,4.0
45,Gicumbi,5.265235291541486,2.2268693211628303,22.908296244558287,4.0
43,Musanze,5.673796014672782,2.9109730172037054,28.57159936402531,4.0
41,Rulindo,5.2168141545868565,2.10942676729531,21.49791709592978,4.0
22,Gisagara,5.570500038065256,1.6238895116589607,17.386037060474134,6.000021417046774
24,Huye,5.40877317156454,1.7275730769707376,18.58673622026258,6.000000000000003
28,Kamonyi,5.606129831947957,1.5794665788457,16.88861845444729,5.999999999999995
27,Muhanga,5.235876283328395,1.872457223435159,19.161555211351214,4.0
25,Nyamagabe,5.0520380540815415,2.536503122235396,27.07529462319735,4.0
21,Nyanza,5.579533429974469,1.5074648191338065,16.604768862324192,5.99999999999999
23,Nyaruguru,5.076067468531107,2.5837453713874696,26.662139792750732,4.0
26,Ruhango,5.526687008924746,1.4713944596379582,15.828438309672315,6.000000000000011
31,Karongi,5.182876484834076,2.021801567669704,20.7812169118616,4.0
35,Ngororero,5.089310070302513,2.1042279868909253,21.23020105916489,4.0
34,Nyabihu,5.300566467810268,2.7500651979338784,27.501141507355868,4.0
37,Nyamasheke,5.13117097306597,2.468193519753133,25.007483021569442,4.0
33,Rubavu,5.827244668222172,2.4490913647497754,25.019653271313967,4.0
36,Rusizi,5.19196360434947,2.6461092075219037,25.270138645469512,4.0
32,Rutsiro,5.126987198545688,2.3713857030109136,23.40081931348895,4.0
